axis,value,burnup_percent,n_points,rmse_swelling_d,bias_swelling_d
K_d,10000.0,1.1,20,0.7776345322185156,-0.2528883987803458
K_d,10000.0,1.3,9,2.167300439296042,0.44934871248570196
K_d,10000.0,3.2,10,0.8612486805715827,-0.7250031734324857
K_d,10000.0,all,39,1.258677806061425,-0.21188875121949885
K_d,50000.0,1.1,20,1.018504809421358,0.17354655332031904
K_d,50000.0,1.3,9,2.9644297622488374,1.229867060104008
K_d,50000.0,3.2,10,0.6392194089624718,-0.29349592217860504
K_d,50000.0,all,39,1.632393631843084,0.2975583432193949
K_d,100000.0,1.1,20,1.110220786526668,0.3056811525226192
K_d,100000.0,1.3,9,3.1817924486350666,1.4541262397524302
K_d,100000.0,3.2,10,0.637345523194077,-0.10500005903752767
K_d,100000.0,all,39,1.7528593909395467,0.4654040671243328
K_d,500000.0,1.1,20,0.8974452288788424,0.24850920096512805
K_d,500000.0,1.3,9,2.7611660140881966,1.246798306979195
K_d,500000.0,3.2,10,0.6591092157967717,0.18489796807208878
K_d,500000.0,all,39,1.5112293193972708,0.46257303750862067
K_d,1000000.0,1.1,20,0.6707512723249608,0.05521994007314367
K_d,1000000.0,1.3,9,2.1725304503488454,0.8135844388437588
K_d,1000000.0,3.2,10,0.5766327417794522,0.19122191931615326
K_d,1000000.0,all,39,1.1854047842097648,0.2650994344671342
K_d,5000000.0,1.1,20,0.6254601213278931,-0.36908495768425215
K_d,5000000.0,1.3,9,1.1431423423506553,-0.13398311945211433
K_d,5000000.0,3.2,10,0.3818662221880757,0.09687690288438244
K_d,5000000.0,all,39,0.7345536778100484,-0.19535328717718584
K_d,10000000.0,1.1,20,0.6928576155153785,-0.4515627821564987
K_d,10000000.0,1.3,9,0.9745616700402991,-0.3614319757499492
K_d,10000000.0,3.2,10,0.398287940338329,0.1806631340334788
K_d,10000000.0,all,39,0.7113602062814056,-0.26865415601396736
f_n,1e-08,1.1,20,2.4550996944709813,1.8881053421765468
f_n,1e-08,1.3,9,4.925073875266624,3.617091362577279
f_n,1e-08,3.2,10,3.5277245751382154,2.9622726192319577
f_n,1e-08,all,39,3.4466850334319763,2.5625296230524626
f_n,1e-07,1.1,20,1.9697878122584116,1.324141834595622
f_n,1e-07,1.3,9,4.401695032452778,2.908789565687078
f_n,1e-07,3.2,10,2.0982956580718404,1.5753776332586766
f_n,1e-07,all,39,2.7549675395814077,1.7542492080944334
f_n,1e-06,1.1,20,0.8974452288788424,0.24850920096512805
f_n,1e-06,1.3,9,2.7611660140881966,1.246798306979195
f_n,1e-06,3.2,10,0.6591092157967717,0.18489796807208878
f_n,1e-06,all,39,1.5112293193972708,0.46257303750862067
f_n,1e-05,1.1,20,0.9955346115204762,-0.8195887735460612
f_n,1e-05,1.3,9,1.3544488234244563,-0.7075241386934903
f_n,1e-05,3.2,10,1.0454247594822637,-0.9317245405069194
f_n,1e-05,all,39,1.1008353130233919,-0.8224804647238931
f_n,0.0001,1.1,20,1.6276519842197847,-1.4019166137368728
f_n,0.0001,1.3,9,1.9712394341998545,-1.8007705149586788
f_n,0.0001,3.2,10,1.7614239232153068,-1.58973461087059
f_n,0.0001,all,39,1.7466688160826358,-1.5421182825146529
f_n,0.001,1.1,20,1.898132518260353,-1.6358321813768524
f_n,0.001,1.3,9,2.4010341824476127,-2.2321313934679736
f_n,0.001,3.2,10,2.0671844426870836,-1.8719349575424995
f_n,0.001,all,39,2.0672993819260403,-1.8339788652352256
rho_d,1000000000000.0,1.1,20,2.0207507561927818,-1.7445818350791895
rho_d,1000000000000.0,1.3,9,2.60679264916662,-2.426881394566211
rho_d,1000000000000.0,3.2,10,2.220629947318531,-2.0203967911466645
rho_d,1000000000000.0,all,39,2.2196035522894113,-1.9727573631832394
rho_d,5000000000000.0,1.1,20,1.7509897761622193,-1.512116862602251
rho_d,5000000000000.0,1.3,9,2.1538654343801094,-1.9920856661268829
rho_d,5000000000000.0,3.2,10,1.9156725541459194,-1.7397927018305743
rho_d,5000000000000.0,all,39,1.8931018099887773,-1.6812573144998129
rho_d,10000000000000.0,1.1,20,1.3312316196330203,-1.1482023758124293
rho_d,10000000000000.0,1.3,9,1.5767242719686616,-1.2864688119878098
rho_d,10000000000000.0,3.2,10,1.4892712770522127,-1.3542433299715475
rho_d,10000000000000.0,all,39,1.4322062659164054,-1.2329410288167784
rho_d,30000000000000.0,1.1,20,0.8974452288788424,0.24850920096512805
rho_d,30000000000000.0,1.3,9,2.7611660140881966,1.246798306979195
rho_d,30000000000000.0,3.2,10,0.6591092157967717,0.18489796807208878
rho_d,30000000000000.0,all,39,1.5112293193972708,0.46257303750862067
rho_d,100000000000000.0,1.1,20,2.106704280902118,1.7981930498109544
rho_d,100000000000000.0,1.3,9,3.9494781483186103,3.1343983582986112
rho_d,100000000000000.0,3.2,10,4.383843446563834,3.8059918352249307
rho_d,100000000000000.0,all,39,3.2868435914034557,2.6213683223886126
rho_d,300000000000000.0,1.1,20,1.5457165584130828,1.471385929745114
rho_d,300000000000000.0,1.3,9,2.371178602682021,2.1617259459348936
rho_d,300000000000000.0,3.2,10,6.33556789422674,5.919013566165627
rho_d,300000000000000.0,all,39,3.5797915377458955,2.7711125069223743
rho_d,1000000000000000.0,1.1,20,0.9645539992408331,0.7056734889620444
rho_d,1000000000000000.0,1.3,9,0.9620376746300382,0.8314307298241673
rho_d,1000000000000000.0,3.2,10,6.029725128296915,5.837737958472719
rho_d,1000000000000000.0,all,39,3.164355923300901,2.0506083572406557
